date,total_cases
2021-06-30,763921279.0
2021-07-01,765688283.0
2021-07-02,767482271.0
2021-07-03,768990218.0
2021-07-04,770311872.0
2021-07-05,771861627.0
2021-07-06,773698814.0
2021-07-07,775598261.0
2021-07-08,777566463.0
2021-07-09,779670994.0
2021-07-10,781382163.0
2021-07-11,782884267.0
2021-07-12,784671722.0
2021-07-13,786852817.0
2021-07-14,789062691.0
2021-07-15,791434295.0
2021-07-16,793886347.0
2021-07-17,795881779.0
2021-07-18,797601219.0
2021-07-19,799639004.0
2021-07-20,801841753.0
2021-07-21,804139778.0
2021-07-22,806481423.0
2021-07-23,809468825.0
2021-07-24,811244044.0
2021-07-25,813057972.0
2021-07-26,815306025.0
2021-07-27,817812075.0
2021-07-28,820495248.0
2021-07-29,823145706.0
2021-07-30,826148597.0
2021-07-31,828259257.0
2021-08-01,830224166.0
2021-08-02,832596067.0
2021-08-03,835202887.0
2021-08-04,838006963.0
2021-08-05,840821668.0
2021-08-06,844171759.0
2021-08-07,846463841.0
2021-08-08,848371432.0
2021-08-09,850922544.0
2021-08-10,853579606.0
2021-08-11,856581065.0
2021-08-12,859487318.0
2021-08-13,862766865.0
2021-08-14,865025968.0
2021-08-15,866935127.0
2021-08-16,869659674.0
2021-08-17,872457652.0
2021-08-18,875479759.0
2021-08-19,878397144.0
2021-08-20,881612964.0
2021-08-21,883886202.0
2021-08-22,885723032.0
2021-08-23,888531594.0
2021-08-24,891366709.0
2021-08-25,894375954.0
2021-08-26,897402737.0
2021-08-27,900409926.0
2021-08-28,902711832.0
2021-08-29,904534630.0
2021-08-30,907255317.0
2021-08-31,909850646.0
2021-09-01,912839781.0
2021-09-02,915597579.0
2021-09-03,918510419.0
2021-09-04,920538162.0
2021-09-05,922344911.0
2021-09-06,924175995.0
2021-09-07,927051456.0
2021-09-08,929618156.0
2021-09-09,932283599.0
2021-09-10,934889947.0
2021-09-11,936788750.0
2021-09-12,938317464.0
2021-09-13,940704589.0
2021-09-14,942965126.0
2021-09-15,945297317.0
2021-09-16,947697833.0
2021-09-17,950238335.0
2021-09-18,952382381.0
2021-09-19,953876249.0
2021-09-20,956014880.0
2021-09-21,958014997.0
2021-09-22,960231288.0
2021-09-23,962467585.0
2021-09-24,964718976.0
2021-09-25,966270320.0
2021-09-26,967731916.0
2021-09-27,969670923.0
2021-09-28,971544433.0
2021-09-29,973568579.0
2021-09-30,975585231.0
2021-10-01,977725555.0
2021-10-02,979188160.0
2021-10-03,980471700.0
2021-10-04,982266169.0
2021-10-05,984027425.0
2021-10-06,986128773.0
2021-10-07,988038831.0
2021-10-08,990005075.0
2021-10-09,991435134.0
2021-10-10,992755613.0
2021-10-11,994313723.0
2021-10-12,996149096.0
2021-10-13,998054030.0
2021-10-14,999941941.0
2021-10-15,1001855461.0
2021-10-16,1003309955.0
2021-10-17,1004629572.0
2021-10-18,1006346047.0
2021-10-19,1008231978.0
2021-10-20,1010250231.0
2021-10-21,1012207914.0
2021-10-22,1014266059.0
2021-10-23,1015832119.0
2021-10-24,1017166275.0
2021-10-25,1018960676.0
2021-10-26,1020883356.0
2021-10-27,1023098852.0
2021-10-28,1025064501.0
2021-10-29,1027241722.0
2021-10-30,1028906139.0
2021-10-31,1030357806.0
2021-11-01,1032122615.0
2021-11-02,1033942391.0
2021-11-03,1036273128.0
2021-11-04,1038542590.0
2021-11-05,1040786092.0
2021-11-06,1042642075.0
2021-11-07,1044141609.0
2021-11-08,1046194866.0
2021-11-09,1048311704.0
2021-11-10,1050894705.0
2021-11-11,1053162297.0
2021-11-12,1055739769.0
2021-11-13,1057617050.0
2021-11-14,1059198424.0
2021-11-15,1061535818.0
2021-11-16,1063858710.0
2021-11-17,1066667961.0
2021-11-18,1069378949.0
2021-11-19,1072108778.0
2021-11-20,1074243636.0
2021-11-21,1076020478.0
2021-11-22,1078753314.0
2021-11-23,1081447059.0
2021-11-24,1084454841.0
2021-11-25,1087139805.0
2021-11-26,1089831616.0
2021-11-27,1091895270.0
2021-11-28,1093706327.0
2021-11-29,1096567209.0
2021-11-30,1099338547.0
2021-12-01,1102509140.0
2021-12-02,1105647188.0
2021-12-03,1108816568.0
2021-12-04,1111102036.0
2021-12-05,1113032303.0
2021-12-06,1115573133.0
2021-12-07,1118700407.0
2021-12-08,1121641150.0
2021-12-09,1124887421.0
2021-12-10,1127912516.0
2021-12-11,1130112093.0
2021-12-12,1132026853.0
2021-12-13,1134746020.0
2021-12-14,1137658213.0
2021-12-15,1140939924.0
2021-12-16,1144164320.0
2021-12-17,1147339697.0
